name,category,address,maps_url
ZUS Coffee – Kompleks PKNS Shah Alam,Kuala Lumpur/Selangor,"Lot G-6 (Ground Floor), Kompleks PKNS Shah Alam, Persiaran Tasik, Seksyen 14, 40000 Shah Alam, Selangor",https://maps.app.goo.gl/11uRprMV9ixudpHT8
ZUS Coffee – Shah Alam Seksyen 18,Kuala Lumpur/Selangor,"15G (Ground Floor), Jalan Pinang B 18/B, Seksyen 18, 40200 Shah Alam, Selangor",https://maps.app.goo.gl/tV4tVt5hoCqVVS7d6
ZUS Coffee – SAMA Square,Kuala Lumpur/Selangor,"G-02 & 02(E), Ground Floor, Same Square, Jalan 1/23c, Kampung Baru Air Panas, 53200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur.",https://maps.app.goo.gl/EzptbL3cArET9Nw1A
ZUS Coffee – GM Klang,Kuala Lumpur/Selangor,"A-G-13, Ground Floor, Wholesale City Gm Klang, Jalan Kasuarina 1, Bandar Botanik, 41200 Klang, Selangor",https://maps.app.goo.gl/KpWWdYpXUwHVqHk9A
"ZUS Coffee – Prima Saujana, Kajang",Kuala Lumpur/Selangor,"No.20 (GF), Jalan Prima Saujana 1/1A, Prima Saujana 43000 Kajang Selangor.",https://maps.app.goo.gl/eEyMwE9Vq4HixWfL6
ZUS Coffee – AEON Mall Bukit Tinggi,Kuala Lumpur/Selangor,"Lot F26, AEON Bukit Tinggi Shopping Centre, 1, Persiaran Batu Nilam 1, KS6, 41200, Selangor",https://maps.app.goo.gl/ciHTbpy7nFNH1xbQA
ZUS Coffee – Shah Alam Seksyen 20,Kuala Lumpur/Selangor,"No 18, Jalan Singa D 20/D, Seksyen 20, 40300 Shah Alam, Selangor",https://maps.app.goo.gl/NJWvjTigi6rz1STG7
ZUS Coffee – You City III Cheras,Kuala Lumpur/Selangor,"Lot no G-AP-8, Jalan Persiaran You City,Taman Suntex, 43200 Cheras, Selangor",https://maps.app.goo.gl/MKWRhERopFZX9iwV8
ZUS Coffee – Menara UOA Bangsar,Kuala Lumpur/Selangor,"Lot LGF-8, Lower Ground Floor, 5, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/9GFMf9ozWFEwVB3Q6
"ZUS Coffee – TTDI Jaya, Shah Alam",Kuala Lumpur/Selangor,"No.33 (Ground Floor), Jalan Opera F U2/F, Taman TTDI Jaya, Seksyen U2, 40150 Shah Alam.",https://maps.app.goo.gl/y6JS8BiUbaStYPDPA
ZUS Coffee – Citta Mall,Kuala Lumpur/Selangor,"G-48 7 G-48A, Ground Floor, Citta Mall, 1, Jalan PJU 1a/48, Ara Damansara, 47301 Petaling Jaya, Selangor",https://maps.app.goo.gl/AGW7mvcrQhFBKF2S6
"ZUS Coffee – Cubic Botanical, Pantai Dalam",Kuala Lumpur/Selangor,"No. R2-1 (Lower Ground Floor), Residensi Rimba Pantai Dalam, No. 6, Jalan Pantai Sentral 3, Pantai Dalam, 59200 Kuala Lumpur",https://maps.app.goo.gl/2CFVnP1RUU76rsmZ8
ZUS Coffee – TTDI Grove Kajang,Kuala Lumpur/Selangor,"No. 26, JALAN TTDI GROVE 1/1, 43000 KAJANG, SELANGOR",https://maps.app.goo.gl/9RQRxmiGig3X6BXF9
ZUS Coffee – Jenjarom,Kuala Lumpur/Selangor,"No. 37 (Ground Floor), Jalan 2/1, Taman Seri Jaromas, 42600 Jenjarom",https://maps.app.goo.gl/jij7okFL6ZQ6oDj38
ZUS Coffee – Suasana PjH Presint 2,Kuala Lumpur/Selangor,"Unit A-G-R10 & A-G-R11, Block A, Suasana PjH, Jalan Tun Abdul Razak, Presint 2, 62100 Putrajaya",https://maps.app.goo.gl/KuSAsowCiPCM3ZaY7
ZUS Coffee – Plaza Low yat,Kuala Lumpur/Selangor,"Plaza Low Yat, Lot LG-04 & 05, Lower Ground Floor, 7, Jalan Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/hP7wXLwkdTDEP9Jk8
"ZUS Coffee – Selera Putra, Souq Putrajaya",Kuala Lumpur/Selangor,"Lot G-005, Selera Putra, Souq Putrajaya, Presint 1, 62000 Putrajaya",https://maps.app.goo.gl/u8mwJJX78gsH9Cd66
ZUS Coffee – Plaza Shah Alam,Kuala Lumpur/Selangor,"S19, Second Floor, Jalan Tengku Ampuan Zabedah E 9/E, Seksyen 9, 40100 Shah Alam, Selangor",https://maps.app.goo.gl/jmCaSVSHEAZX1uCPA
"ZUS Coffee – Vista Bangi, Jalan Reko",Kuala Lumpur/Selangor,"1-06 (Ground Floor) Vista Bangi, Jalan Reko, 43000 Kajang, Selangor.",https://maps.app.goo.gl/cjtSfXE8JLt3kB6K6
ZUS Coffee – Kipmall Bangi,Kuala Lumpur/Selangor,"1K-03A, Level 1, No. 1 Jalan Medan Bangi Business Park Bangi Golf Resort) Off, Persiaran Kemajuan, Seksyen 6, 43650 Bandar Baru Bangi, Selangor",https://maps.app.goo.gl/uR1tJeAs3S9T1Hgy5
